"ISO3","Country","ISO2","Rank","Tax Wedge in % (As a Share of Labor Cost)","Income Tax in %","Employee Payroll Taxes in %","Employer Payroll Taxes in %","Total Average Annual Labor Cost per Employee in $"
"AUS","Australia","AU",31,26.896167,21.831373,0,5.064793,68946.608571
"AUT","Austria","AT",4,46.821402,11.887032,14.04919,21.849706,88549.927433
"BEL","Belgium","BE",1,53.047897,20.747399,11.011216,21.289282,94362.447856
"CAN","Canada","CA",27,31.862935,17.617895,5.831839,8.413201,70907.011908
"CHE","Switzerland","CH",34,23.419299,11.389223,6.015038,6.015038,100655.006477
"CHL","Chile","CL",37,7,0,7,0,26718.742059
"COL","Colombia","CO",38,0,0,0,0,14644.288509
"CRI","Costa Rica","CR",30,29.249012,0,8.300395,20.948617,35633.370925
"CZE","Czech Republic","CZ",14,39.818328,6.335518,8.221226,25.261584,48717.466324
"DEU","Germany","DE",2,47.847842,14.711812,16.941029,16.649302,90146.084897
"DNK","Denmark","DK",21,35.511068,35.542477,0,0,69941.331407
"ESP","Spain","ES",15,39.484566,11.578484,4.888376,23.017706,61077.926654
"EST","Estonia","EE",16,39.004838,12.547438,1.195815,25.261584,45623.909041
"FIN","Finland","FI",6,43.133728,17.209249,8.487227,17.437252,74825.440574
"FRA","France","FR",3,46.997952,11.880408,8.379712,26.737832,81139.935425
"GBR","United Kingdom","GB",28,31.548899,12.841492,8.350693,10.356715,71543.746447
"GRC","Greece","GR",19,37.075629,7.361523,11.417347,18.29676,43782.666331
"HUN","Hungary","HU",11,41.150442,13.274336,16.371681,11.504425,44682.755509
"IRL","Ireland","IE",23,34.72026,21.167806,3.601981,9.950473,77317.695335
"ISL","Iceland","IS",26,32.484596,26.399773,0.113971,5.970851,78589.037824
"ISR","Israel","IL",33,23.56897,10.266587,7.80477,5.497612,48696.704576
"ITA","Italy","IT",5,45.89329,15.288335,6.604347,24.000608,70392.724133
"JPN","Japan","JP",25,32.649266,6.80842,12.526006,13.31484,62027.643144
"KOR","Korea","KR",32,24.186478,5.918936,8.354519,9.913024,66702.016922
"LTU","Lithuania","LT",17,38.218823,17.303213,19.157088,1.758522,42454.364275
"LUX","Luxembourg","LU",13,40.378668,17.403485,10.817769,12.157414,94100.219416
"LVA","Latvia","LV",12,40.550309,12.952069,8.494061,19.104178,39388.639502
"MEX","Mexico","MX",35,20.402274,8.88275,1.235959,10.283566,16947.087148
"NLD","Netherlands","NL",22,35.483519,14.341352,10.430233,10.711934,85828.413381
"NOR","Norway","NO",20,35.706988,17.122917,7.079646,11.504425,79920.853946
"NZL","New Zealand","NZ",36,20.136624,20.136624,0,0,47538.662889
"OAVG","OECD Average","OV",39,34.585822,13.043726,8.195229,13.385032,60522.001584
"POL","Poland","PL",24,33.619529,4.233062,15.318042,14.068425,44794.616022
"PRT","Portugal","PT",9,41.930959,13.850151,8.888889,19.191919,47700.119166
"SVK","Slovak Republic","SK",10,41.599321,8.368789,10.331534,22.898998,37238.674532
"SVN","Slovenia","SI",7,42.79666,9.89399,19.035314,13.867356,48178.710143
"SWE","Sweden","SE",8,42.37194,13.139964,5.323997,23.907979,75477.052723
"TUR","Turkey","TR",18,37.224188,9.564614,12.765957,14.893617,34469.791181
"USA","United States","US",29,30.468589,15.863077,7.073826,7.531686,70174.367595
