"ISO3","Country","ISO2","Rank","Tax Wedge in percentage (As a Share of Labor Cost)","Income Tax in percentage","Employee Payroll Taxes in percentage","Employer Payroll Taxes in percentage","Total Average Annual Labor Cost per Employee in $"
"AUS","Australia","AU",29,28.354825,22.723159,0,5.631666,67199.003509
"AUT","Austria","AT",3,47.344522,11.39557,14.038219,21.910733,81901.652232
"BEL","Belgium","BE",1,51.542613,19.239487,10.984427,21.318699,80964.606545
"CAN","Canada","CA",28,30.378439,14.255247,6.769191,9.397234,53570.191134
"CHE","Switzerland","CH",33,22.062875,10.076976,5.992949,5.992949,81821.797892
"CHL","Chile","CL",36,7.03244,0.03244,7,0,24049.65233
"COL","Colombia","CO",37,0,0,0,0,11960.571583
"CZE","Czech Republic","CZ",6,43.867644,10.384834,8.221226,25.261584,42302.102471
"DEU","Germany","DE",2,49.037829,15.669737,16.788321,16.579771,84456.495609
"DNK","Denmark","DK",22,35.229587,35.349698,0,0,64948.024427
"ESP","Spain","ES",16,39.289026,11.382944,4.888376,23.017706,55937.02747
"EST","Estonia","EE",19,36.89154,10.434141,1.195815,25.261584,42136.300088
"FIN","Finland","FI",13,41.157777,16.858063,8.55281,15.746904,63713.142927
"FRA","France","FR",4,46.639891,11.724018,8.299381,26.616492,70840.698705
"GBR","United Kingdom","GB",27,30.832131,12.642274,8.36183,9.828027,64160.677569
"GRC","Greece","GR",14,40.12138,7.9725,12.450815,19.698065,48261.71925
"HUN","Hungary","HU",7,43.644068,12.711864,15.677966,15.254237,40246.641803
"IRL","Ireland","IE",25,32.306054,18.7536,3.601981,9.950473,64086.261388
"ISL","Iceland","IS",26,32.300237,26.020935,0.308451,5.970851,70116.509293
"ISR","Israel","IL",32,22.406822,9.598714,7.467995,5.340113,45112.184769
"ITA","Italy","IT",5,46.047386,14.834436,7.212342,24.000608,58889.155033
"JPN","Japan","JP",24,32.677373,6.836527,12.526006,13.31484,59166.036605
"KOR","Korea","KR",31,23.2563,5.416929,8.102801,9.73657,59031.366937
"LTU","Lithuania","LT",18,36.899795,15.984185,19.157088,1.758522,37108.543201
"LUX","Luxembourg","LU",17,37.542138,14.63866,10.807838,12.09564,76211.042681
"LVA","Latvia","LV",10,41.842336,13.545142,8.862145,19.43505,32802.334055
"MEX","Mexico","MX",34,20.187982,8.442927,1.216705,10.52835,15554.605648
"NLD","Netherlands","NL",20,36.423792,14.48841,11.134842,10.800539,77593.695573
"NOR","Norway","NO",21,35.8033,17.042238,7.256637,11.504425,71456.274599
"NZL","New Zealand","NZ",35,19.119252,19.119252,0,0,43492.923205
"OAVG","OECD Average","OV",NA,34.62586,13.105898,8.258545,13.315617,54700.165524
"POL","Poland","PL",23,34.817688,5.395984,15.310398,14.111306,39514.934118
"PRT","Portugal","PT",11,41.301756,13.220948,8.888889,19.191919,41503.94964
"SVK","Slovak Republic","SK",12,41.244528,7.757584,10.291859,23.195084,33783.828469
"SVN","Slovenia","SI",8,42.925776,10.023106,19.035314,13.867356,41541.22243
"SWE","Sweden","SE",9,42.672573,13.438766,5.325842,23.907966,69879.318254
"TUR","Turkey","TR",15,39.664269,12.004695,12.765957,14.893617,43446.985981
"USA","United States","US",30,28.290867,15.502219,7.071739,7.558963,65144.646947
