"Country","Tax Wedge in %"
"Australia",27.945726
"Austria",47.908305
"Belgium",52.242228
"Canada",30.469235
"Switzerland",22.269739
"Chile",7.045012
"Czech Republic",43.94102
"Germany",49.352093
"Denmark",35.433908
"Spain",39.486543
"Estonia",37.245262
"Finland",41.926257
"France",46.66721
"United Kingdom",30.857401
"Greece",40.836825
"Hungary",44.583333
"Ireland",33.200362
"Iceland",33.146581
"Israel",22.719776
"Italy",48.011509
"Japan",32.704186
"Korea",23.304178
"Lithuania",37.231615
"Luxembourg",38.429831
"Latvia",42.551532
"Mexico",20.142694
"Netherlands",37.251019
"Norway",35.672659
"New Zealand",18.774706
"OECD Average",35.970102
"Poland",35.589545
"Portugal",40.95624
"Slovak Republic",41.88269
"Slovenia",43.592696
"Sweden",42.671989
"Turkey",39.123015
"United States",29.756748
